Assay Name,Result
DRD3,0.9875
CNR1,0.975
DRD4,0.9688644688644689
EGFR,0.9678571428571429
SIGMAR1,0.9634502923976608
FLT1,0.9551282051282052
HTR6,0.9485213581599125
HRH1,0.9473684210526316
LCK,0.9139414802065404
CHRM1,0.9125
PTGS1,0.8917748917748918
ADRB2,0.8866666666666667
HTR2B,0.8796844181459567
CHRM3,0.8734177215189873
CA2,0.8707317073170732
HTR2A,0.8647727272727274
KCNH2,0.856140350877193
CYP2C19,0.8390403720143733
CHRM4,0.829059829059829
CYP3A4,0.8236072807501378
ADRA1D,0.821917808219178
DRD2,0.8154761904761905
CYP2C9,0.8094968908988128
HTR2C,0.803076923076923
SLC6A2,0.8025974025974028
SLC6A4,0.7912912912912913
OPRK1,0.7863247863247863
CYP1A2,0.7794599807135969
CA12,0.775
ABL1,0.7619047619047619
CYP2D6,0.7329108193752829
ADRA2B,0.7252252252252253
CDK2,0.7
ESR1,0.689594356261023
MCL1,0.6714285714285714
KDR,0.6171875
HTR1A,0.5416666666666666
CA9,0.4675324675324675
PPARG,0.3516483516483516
ABCB1,0.33333333333333337
CACNA1H,0.3238095238095238
