Assay Name,Result
CNR1,0.9875
DRD3,0.9875
SIGMAR1,0.9809941520467836
EGFR,0.9773809523809524
CHRM1,0.96875
FLT1,0.9487179487179487
HTR6,0.9419496166484118
DRD4,0.9340659340659341
LCK,0.9328743545611016
KCNH2,0.9052631578947368
HRH1,0.9035087719298246
HTR2A,0.8931818181818183
HTR2B,0.8895463510848125
ADRB2,0.888888888888889
PTGS1,0.8831168831168832
CA2,0.8560975609756097
CHRM3,0.8481012658227848
SLC6A2,0.8467532467532468
CYP2C19,0.83285774677658
CYP3A4,0.8314396028681743
OPRK1,0.8226495726495726
HTR2C,0.8030769230769231
CYP2C9,0.7899001319012625
CYP1A2,0.7867405978784956
CHRM4,0.7820512820512822
DRD2,0.7817460317460317
SLC6A4,0.7792792792792793
ESR1,0.7689594356261023
ADRA1D,0.7616438356164383
CA12,0.7500000000000001
CYP2D6,0.71090991398823
ADRA2B,0.6981981981981982
CDK2,0.6777777777777778
CA9,0.6363636363636364
KDR,0.6015625
ABL1,0.5714285714285714
HTR1A,0.5520833333333334
MCL1,0.5285714285714286
PPARG,0.5164835164835164
CACNA1H,0.34285714285714286
ABCB1,0.31250000000000006
