Assay Name,Result
DRD3,0.9875
CHRM1,0.98125
CNR1,0.971875
EGFR,0.969047619047619
SIGMAR1,0.956140350877193
HTR6,0.9430449069003286
FLT1,0.9423076923076923
CHRM3,0.9177215189873418
DRD4,0.9120879120879121
ADRB2,0.911111111111111
LCK,0.9001721170395869
HTR2B,0.8816568047337278
KCNH2,0.8736842105263158
HTR2A,0.865909090909091
HRH1,0.8640350877192983
CA2,0.8585365853658536
PTGS1,0.8376623376623378
CHRM4,0.829059829059829
CYP3A4,0.8285162713734142
CYP2C19,0.8249841471147749
HTR2C,0.798974358974359
SLC6A2,0.7974025974025974
SLC6A4,0.7972972972972973
CYP2C9,0.7961811444004774
ESR1,0.7954144620811288
DRD2,0.7936507936507936
CYP1A2,0.7860173577627773
ADRA1D,0.7726027397260273
OPRK1,0.7638888888888888
CA12,0.7500000000000001
ABL1,0.7301587301587302
CYP2D6,0.7147125396106835
CA9,0.6883116883116883
ADRA2B,0.6351351351351351
HTR1A,0.59375
KDR,0.59375
CDK2,0.5444444444444445
PPARG,0.5054945054945055
MCL1,0.5
CACNA1H,0.4095238095238095
ABCB1,0.3541666666666667
