Assay Name,Result
DRD3,0.9875
CNR1,0.9874999999999999
EGFR,0.975
CHRM1,0.96875
FLT1,0.9658119658119658
SIGMAR1,0.9605263157894737
DRD4,0.956043956043956
HTR6,0.9222343921139102
LCK,0.9173838209982789
HTR2B,0.9102564102564104
HRH1,0.9078947368421052
HTR2A,0.8875
ADRB2,0.8777777777777778
PTGS1,0.8744588744588744
KCNH2,0.8596491228070176
CYP2C19,0.8396744874233776
CA2,0.8353658536585366
CYP3A4,0.824434638720353
HTR2C,0.8164102564102564
OPRK1,0.8108974358974357
CHRM3,0.810126582278481
CYP2C9,0.806105144149237
DRD2,0.8015873015873016
SLC6A4,0.8003003003003003
CHRM4,0.7905982905982906
ADRA1D,0.789041095890411
CYP1A2,0.7798457087753135
SLC6A2,0.7610389610389612
ESR1,0.7513227513227514
CYP2D6,0.7110004526935265
CA12,0.7
CA9,0.6493506493506493
ADRA2B,0.6261261261261262
ABL1,0.6031746031746031
KDR,0.5859375
HTR1A,0.5833333333333334
CDK2,0.5555555555555556
MCL1,0.48571428571428577
PPARG,0.46153846153846156
ABCB1,0.39583333333333337
CACNA1H,0.380952380952381
