Assay Name,Result
DRD3,0.9875
CNR1,0.9781249999999999
EGFR,0.9773809523809524
FLT1,0.9615384615384616
SIGMAR1,0.9502923976608187
CHRM1,0.95
LCK,0.9432013769363167
HTR6,0.9397590361445782
DRD4,0.9340659340659341
KCNH2,0.9315789473684211
HTR2B,0.8944773175542406
HTR2A,0.8886363636363636
HRH1,0.881578947368421
ADRB2,0.8733333333333334
CHRM3,0.8544303797468354
CA2,0.853658536585366
CYP2C19,0.8416296766011414
PTGS1,0.8333333333333334
CHRM4,0.829059829059829
OPRK1,0.8237179487179487
CYP3A4,0.8149476006618863
CYP2C9,0.809936561773758
HTR2C,0.8071794871794872
CYP1A2,0.7899710703953712
SLC6A2,0.7792207792207791
SLC6A4,0.7627627627627628
DRD2,0.761904761904762
CA12,0.75
ABL1,0.746031746031746
ESR1,0.7389770723104057
CDK2,0.7222222222222222
ADRA1D,0.7205479452054795
CYP2D6,0.7097329108193753
CA9,0.6623376623376623
KDR,0.640625
ADRA2B,0.6306306306306306
MCL1,0.5857142857142857
HTR1A,0.53125
PPARG,0.39560439560439564
CACNA1H,0.37142857142857144
ABCB1,0.3333333333333333
