model,dataset,seed,metric,train,valid,test,epoch,suc_80,suc_85,suc_90,suc_95,thr_80,thr_85,thr_90,thr_95
pretrain,finetune-chembl2k_sub,0,roc_auc,0.938803229995373,0.834679853275758,0.7490929627601315,12,0.0,0.0,0.0,0.0,[0],[0],[0],[0]
pretrain,finetune-chembl2k_sub,1,roc_auc,0.9565694839214549,0.8401936202813762,0.7462159243032737,15,0.0,0.0,0.0,0.0,[0],[0],[0],[0]
pretrain,finetune-chembl2k_sub,2,roc_auc,0.9472925937693016,0.8137043227933325,0.7441774674455398,12,0.0,0.0,0.0,0.0,[0],[0],[0],[0]
pretrain,finetune-chembl2k_sub,3,roc_auc,0.9389070015217454,0.8093861726331429,0.7348751064865522,12,0.0,0.0,0.0,0.0,[0],[0],[0],[0]
pretrain,finetune-chembl2k_sub,4,roc_auc,0.9661754577497074,0.829583971769513,0.7310606060606062,17,0.0,0.0,0.0,0.0,[0],[0],[0],[0]
